ID mag mu0 alpha RA DEC box
LSBVCC366 19.1 24.9 5.8 185.214166667 16.3636111111 1arcmin
LSBVCC367 20.4 25.0 3.3 185.061666667 16.5685 1arcmin
LSBVCC368 20.3 25.1 3.7 185.123333333 16.8156944444 1arcmin
LSBVCC369 18.7 23.9 4.3 185.55125 16.9748055556 1arcmin
LSBVCC370 18.2 23.1 3.8 185.402083333 5.82330555556 1arcmin
LSBVCC371 19.5 24.5 3.9 185.32125 5.99580555556 1arcmin
LSBVCC372 20.0 24.7 3.5 185.074166667 6.00161111111 1arcmin
LSBVCC373 19.3 25.1 5.9 185.41 6.28319444444 1arcmin
LSBVCC374 18.0 22.6 3.4 185.220416667 6.32469444444 1arcmin
LSBVCC375 18.6 23.6 4.0 184.994166667 6.33438888889 1arcmin
LSBVCC376 18.5 23.4 3.9 185.342916667 6.39411111111 1arcmin
LSBVCC377 17.2 23.3 6.7 184.096666667 7.79969444444 1arcmin
LSBVCC378 18.2 22.8 3.3 184.20875 7.8625 1arcmin
LSBVCC379 17.6 22.6 4.0 184.140416667 6.83488888889 1arcmin
LSBVCC380 17.4 22.8 4.7 184.221666667 6.91138888889 1arcmin
LSBVCC381 19.7 24.2 3.2 184.246666667 7.02011111111 1arcmin
LSBVCC382 19.8 24.4 3.4 184.254166667 7.1115 1arcmin
LSBVCC383 20.6 25.0 3.1 184.378333333 7.32230555556 1arcmin
LSBVCC384 17.4 22.5 4.1 184.28 7.73338888889 1arcmin
LSBVCC385 18.2 23.8 5.1 187.769166667 17.3878888889 1arcmin
LSBVCC386 20.6 25.0 3.0 188.562083333 17.7168888889 1arcmin
LSBVCC387 18.5 23.2 3.6 187.846666667 17.9188055556 1arcmin
LSBVCC388 18.0 23.0 3.9 188.8825 7.02638888889 1arcmin
LSBVCC389 17.8 23.7 6.1 189.42125 7.677 1arcmin
LSBVCC390 19.2 24.4 4.4 190.08875 12.7191111111 1arcmin
LSBVCC391 18.4 22.8 3.1 192.71875 13.6948888889 1arcmin
LSBVCC392 18.5 24.0 4.9 192.577083333 14.0978888889 1arcmin
LSBVCC393 19.0 23.8 3.6 187.25875 12.4353055556 1arcmin
LSBVCC394 17.5 22.7 4.4 187.369166667 12.4963055556 1arcmin
LSBVCC395 19.6 24.7 4.0 186.95625 12.4996111111 1arcmin
LSBVCC396 18.1 22.6 3.2 186.58375 12.5103888889 1arcmin
LSBVCC397 19.0 23.8 3.6 187.563333333 12.5156944444 1arcmin
LSBVCC398 16.9 23.0 6.7 187.1775 12.55 1arcmin
LSBVCC399 19.6 25.1 5.1 186.76125 12.5805 1arcmin
LSBVCC400 19.3 24.7 4.7 187.47375 12.6208888889 1arcmin
LSBVCC401 19.1 25.4 7.1 186.815416667 12.6601111111 1arcmin
LSBVCC402 19.9 24.4 3.1 187.19625 12.6418888889 1arcmin
LSBVCC403 20.2 24.7 3.2 186.717083333 12.6523888889 1arcmin
LSBVCC404 18.6 23.3 3.4 187.23125 12.7068888889 1arcmin
LSBVCC405 20.7 25.4 3.4 186.61625 12.7643055556 1arcmin
LSBVCC406 18.1 23.6 5.1 186.652083333 12.8033055556 1arcmin
LSBVCC407 19.5 24.8 4.7 186.893333333 12.8038888889 1arcmin
LSBVCC408 17.6 23.8 6.7 186.9125 12.8798888889 1arcmin
LSBVCC409 20.1 25.0 3.7 186.809583333 12.9025 1arcmin
LSBVCC410 20.7 25.0 3.0 187.442916667 12.9243888889 1arcmin
LSBVCC411 18.8 23.7 3.8 187.028333333 12.9786111111 1arcmin
LSBVCC412 19.0 24.5 5.2 186.659583333 13.0796944444 1arcmin
LSBVCC413 19.1 24.3 4.5 186.694583333 13.2673888889 1arcmin
LSBVCC414 20.5 25.0 3.1 187.082916667 13.3596944444 1arcmin
LSBVCC415 20.9 25.3 3.0 187.336666667 13.37 1arcmin
LSBVCC416 19.9 24.8 3.9 186.815 13.4128055556 1arcmin
LSBVCC417 20.1 24.8 3.5 186.897916667 15.4283888889 1arcmin
LSBVCC418 19.3 24.1 3.7 187.240833333 15.583 1arcmin
LSBVCC419 18.5 23.8 4.4 187.084166667 15.6998888889 1arcmin
LSBVCC420 17.8 22.6 3.7 187.378333333 15.7343055556 1arcmin
LSBVCC421 20.1 25.1 4.0 187.3225 15.749 1arcmin
LSBVCC422 17.9 22.8 3.8 187.13125 16.0643055556 1arcmin
LSBVCC423 19.9 25.1 4.3 186.717916667 16.2503888889 1arcmin
LSBVCC424 20.0 24.8 3.7 186.625416667 16.2648888889 1arcmin
LSBVCC425 20.8 25.3 3.1 186.695416667 16.277 1arcmin
LSBVCC426 19.7 25.3 5.2 186.6425 16.4641944444 1arcmin
LSBVCC427 17.9 23.5 5.2 187.252083333 16.7013055556 1arcmin
LSBVCC428 19.4 25.0 5.2 187.537083333 9.71588888889 1arcmin
LSBVCC429 19.2 24.6 5.0 187.49625 9.79669444444 1arcmin
LSBVCC430 17.2 23.7 7.8 187.55875 10.181 1arcmin
LSBVCC431 17.8 23.2 4.7 187.357916667 10.2491944444 1arcmin
LSBVCC432 19.9 24.4 3.1 187.53375 10.2646111111 1arcmin
LSBVCC433 16.7 23.1 7.7 187.05 10.3646111111 1arcmin
LSBVCC434 18.0 22.5 3.1 187.325833333 10.4968055556 1arcmin
LSBVCC435 17.3 22.9 5.3 187.130833333 10.519 1arcmin
LSBVCC436 17.0 23.0 6.2 187.05375 10.5258888889 1arcmin
LSBVCC437 19.5 24.6 4.1 186.674166667 4.90661111111 1arcmin
LSBVCC438 18.4 23.1 3.5 185.54375 11.6416944444 1arcmin
LSBVCC439 19.0 23.5 3.2 185.45375 11.8523888889 1arcmin
LSBVCC440 18.6 23.9 4.6 184.724166667 12.1943055556 1arcmin
LSBVCC441 18.4 23.3 3.8 184.877916667 12.2088055556 1arcmin
LSBVCC442 19.0 24.0 4.0 185.229166667 12.3291944444 1arcmin
LSBVCC443 18.8 24.0 4.4 185.31375 12.4068055556 1arcmin
